序号,分类,模块,需求描述
1,游客小程序,引领区简介,通过文字、图片和视频等方式，为游客提供南昆山-罗浮山引领区的简要介绍，让游客可以初步了解双山历史
2,,景点\住宿\饭店介绍,通过文字、图片和视频等方式，为游客提供对应景点\住宿\饭店的介绍。同时，调用地图应用，提示景点\住宿\饭店和游客的距离。
3,,地图打卡,"游客点击手绘地图相应景点后，可以拍照打卡。小程序会根据游客位置距离进行校验，如果超过一定距离，则提示无法打卡。
同时，可以在打卡页面看到别人打卡的记录，游客可以对其它打卡记录进行点赞。"
4,,打卡排名,对游客的打卡点位数量和打卡点赞量进行综合排名，并实时更新排名情况
5,,附近推荐,通过瀑布流方式，推荐游客附近的打卡点、打卡人数及对应距离，并且支持距离排序、热度排序等不同排序方式。
6,,商家推荐,通过清单方式，推荐游客附近的消费商家及对应距离，并且支持距离排序、热度排序等不同排序方式。提供商家地址和联系方式，支持一键拨打功能
7,,点评动态,实时展示最新打卡动态和游客点评。游客可以对打卡动态进行星级评分和点赞
8,,个人中心,个人信息、头像管理、联系电话管理
9,,,打卡记录：已打卡清单及未打卡点提示
10,,,积分记录：积分清单及积分规则展示
11,,,礼品中心：通过积分可以在礼品中心兑换相应的礼品
12,,,我的兑换：展示已经兑换的礼品，点开相应礼品后展示核销二维码
13,,,打卡排行：对游客的打卡点位数量和打卡点赞量进行综合排名，并实时更新排名情况和当前个人排名
14,,,活动说明：本次活动的详细说明
15,,,热线客服：游客可以一键拨打组织方进行咨询和投诉
16,管理端,简介管理,双山引领区介绍内容管理
17,,打卡管理,实现打卡点位管理、打卡记录管理、打卡统计分析
18,,住宿\饭店管理,住宿\饭店信息管理
19,,积分管理,积分规则管理、积分获取记录及消费记录清单、积分统计分析
20,,礼品管理,礼品供应商管理、礼品管理、兑换清单管理、礼品核销管理及统计分析
21,,用户中心,实现用户的账号信息、角色、权限和部门管理
22,商家端,礼品核销,在手机端实现礼品码扫码核销的功能
23,,核销记录,核销记录清单式展示
24,,核销统计,可以进行多维度核销统计（月、周、日）
25,基础服务,手绘地图制作,专业手绘地图制作
26,,云服务器,阿里云 4C16G100G 5M
27,,接口服务,短信验证接口（1万条）、身份认证接口（1万次）、微信登录接口（1万次）
28,维护服务1年,需求维护,内容和故障维护，开发费用5%
